Sample ID,Plot,Sub-Plot,10g wet soil  + tin,dry soil + tin,water in sample,Dry soil / wet soil,Infiltration,bulk_density_g.cm3,<53 (g),>53 (g),>250 (g),>2000 (g),Proportion <53,Proportion >53,Proportion >250,Proportion >2000,Recovery (Aggregate),
N1,N8-6,1,15.82,14.41,1.41,0.859,134,1.276,,,,,,,,,,
N2,N8-6,1,,,,,136,1.427,,,,,,,,,,
N3,N8-6,1,,,,,,,,,,,,,,,,
N4,N8-6,2,15.7,14.29,1.41,0.859,138,1.217,,,,,,,,,,
N5,N8-6,2,,,,,142,1.536,,,,,,,,,,
N6,N8-6,2,,,,,,,,,,,,,,,,
N7,N8-6,3,15.75,14.35,1.4,0.86,133,1.359,,,,,,,,,,
N8,N8-6,3,,,,,139,1.331,,,,,,,,,,
N9,N8-6,3,,,,,,,,,,,,,,,,
C1,C7-8,1,15.81,14.36,1.45,0.855,250,1.421,81.71,29.39,42.03,28.94,0.448783435,0.161421431,0.230845279,0.158949854,0.91035,1
C2,C7-8,1,,,,,243,1.093,78.63,36.42,47.31,18.93,0.433724971,0.200893596,0.260963098,0.104418335,0.90645,1
C3,C7-8,1,,,,,,,66.79831,38.14,34.05,42.1,0.368871464,0.210615473,0.188029807,0.232483256,0.90544155,1
C4,C7-8,2,15.71,14.24,1.47,0.853,211,1.153,74.29,36.17,29.94,25.77,0.447072275,0.217668653,0.180176927,0.155082145,0.83085,1
C5,C7-8,2,,,,,240,1.243,74.08,21.46,57.01,24.89,0.417493237,0.12094229,0.321291704,0.140272768,0.8872,1
C6,C7-8,2,,,,,,,63.41,24.79,47.17,34.27,0.373791559,0.146132988,0.27805942,0.202016034,0.8482,1
C7,C7-8,3,15.92,14.45,1.47,0.853,245,1.157,71.01,26.01,37.31,35.54,0.418025549,0.15311709,0.219638547,0.209218814,0.84935,1
C8,C7-8,3,,,,,248,1.16,89.06,24.38,43.51,30.93,0.474025974,0.129763679,0.23158399,0.164626357,0.9394,1
C9,C7-8,3,,,,,,,90.73,26.62,35.72,21.16,0.520748436,0.152786547,0.205016358,0.12144866,0.87115,1
O1,O8-8,1,15.59,14.03,1.56,0.844,144,1.233,57.76,46.73,35.79,49.72,0.304,0.245947368,0.188368421,0.261684211,0.95,1
O2,O8-8,1,,,,,143,1.564,60.49,42.49,37.02,49.1,0.319883659,0.224695928,0.195769434,0.259650978,0.9455,1
O3,O8-8,1,,,,,,,73.31,49.85,33.3,39.76,0.373611253,0.254051575,0.169707471,0.202629701,0.9811,1
O4,O8-8,2,15.83,14.23,1.6,0.84,139,1.28,44.64,29.5,36.83,70.69,0.245733788,0.16239128,0.202741385,0.389133546,0.9083,1
O5,O8-8,2,,,,,148,1.553,65.92,43.83,34.97,36.01,0.364742987,0.242516461,0.193493056,0.199247496,0.90365,1
O6,O8-8,2,,,,,,,58.09,40.74,33.02,66.83,0.292379706,0.205053352,0.1661969,0.336370042,0.9934,1
O7,O8-8,3,15.73,14.14,1.59,0.841,155,1.543,50.92,41.57,28.17,38.52,0.319889433,0.261150898,0.176969469,0.2419902,0.7959,1
O8,O8-8,3,,,,,151,1.445,67.8,47.87,26.42,56.56,0.341303801,0.240976592,0.132997735,0.284721873,0.99325,1
O9,O8-8,3,,,,,,,70.08,43.49,34.67,49.91,0.353671461,0.219480192,0.174968458,0.251879889,0.99075,1
