Run ID,ID,NH4,NO3,OlsenP,X_K,X_Na,X_Ca,X_Mg,CEC,LOI,pH
1,C1, 7.39, 6.05, 35.6,338, 15, 9.30,12.69,22.92, 2.82, 6.89
2,C2, 8.99, 6.35, 40.2,342, 17, 9.52,12.60,23.07, 2.81, 6.94
3,C3, 5.14, 8.30, 34.6,273, 16, 9.60,14.24,24.60, 2.66, 7.01
4,C4, 5.29, 7.90, 26.0,279, 13, 9.27,14.13,24.17, 2.57, 6.91
5,C5, 5.59, 7.05, 20.6,282, 10, 8.87,13.68,23.32, 2.59, 6.76
6,CA1, 7.04, 7.55, 38.0,284, 15, 9.99,14.90,25.69, 2.95, 6.95
7,CA2, 6.89, 5.55, 39.6,297, 16,10.08,14.93,25.84, 3.01, 6.85
8,CA3, 6.49, 8.60, 38.8,287, 15,10.04,14.98,25.82, 3.00, 6.90
9,CA4, 5.89, 7.15, 38.6,288, 15,10.01,14.82,25.63, 2.86, 7.01
10,CA5, 5.09, 6.00, 37.0,292, 14, 9.98,14.90,25.69, 2.88, 6.96
11,CB1, 6.39, 4.49, 37.8,291, 14,10.02,15.10,25.92, 2.81, 6.88
12,CB2, 7.39, 1.86, 37.0,288, 15, 9.98,14.67,25.45, 2.75, 6.91
13,CB3, 4.18, 1.54, 37.2,276, 13, 9.97,14.83,25.57, 2.77, 7.07
14,CB4, 5.54, 4.16, 35.8,299, 13,10.17,15.28,26.27, 2.87, 6.95
15,CB5, 5.24, 2.38, 33.2,292, 11,10.00,15.08,25.88, 2.80, 6.82
16,CC1, 3.92, 1.27, 14.6,107,  5, 4.44, 6.19,10.93, 1.52, 7.24
17,CC2, 3.80, 1.13, 13.7,100,  5, 4.19, 5.82,10.28, 1.48, 7.40
18,CC3, 3.67, 1.74, 12.9, 99,  5, 4.10, 5.72,10.09, 1.41, 7.31
19,CC4, 3.49, 1.17,  8.6,122,  5, 4.70, 6.74,11.77, 1.44, 7.10
20,CC5, 4.56, 2.09, 10.5,129,  6, 4.86, 7.06,12.27, 1.52, 7.04
21,CD1,12.59,22.95, 49.2,381, 33,12.76,18.51,32.40, 3.34, 6.98
22,CD2,11.09,22.75, 47.0,372, 31,12.59,18.65,32.33, 3.32, 6.93
23,CD3, 7.74,17.00, 38.8,323, 18,10.79,16.27,27.97, 2.73, 6.97
24,CD4,10.49,23.25, 39.8,355, 21,11.55,17.53,30.08, 2.93, 6.98
25,CD5,11.59,25.30, 39.0,351, 20,11.21,17.15,29.34, 3.09, 6.94
26,O1, 7.69, 4.77, 30.4,342, 14, 8.86,11.69,21.48, 2.76, 6.83
27,O2, 8.59, 8.75, 48.2,416, 21, 9.51,10.87,21.54, 3.16, 6.81
28,O3, 9.84, 9.55, 61.2,444, 27, 9.93,10.39,21.57, 3.29, 6.81
29,O4, 7.84,11.00, 61.0,460, 24, 9.99,10.41,21.68, 3.31, 6.81
30,O5,10.29,13.65, 61.4,473, 25, 9.99,10.33,21.64, 3.34, 6.86
31,OA1,12.49, 6.65, 60.4,443, 27,10.08,10.54,21.87, 3.19, 6.80
32,OA2,14.24, 4.13, 63.6,444, 30,10.13,10.41,21.80, 3.21, 6.78
33,OA3, 8.54, 4.84, 62.2,444, 27, 9.95,10.43,21.63, 3.14, 6.78
34,OA4,14.74, 5.10, 60.4,465, 21, 9.91,10.13,21.32, 3.32, 6.78
35,OA5,12.24, 6.55, 59.6,467, 23, 9.86,10.26,21.41, 3.28, 6.85
36,OB1,15.94, 5.50, 58.4,431, 18, 9.87,10.01,21.06, 3.43, 6.92
37,OB2,18.59, 3.08, 56.8,424, 20,10.14,10.31,21.62, 3.18, 6.86
38,OB3,16.89, 5.35, 57.2,443, 17, 9.96,10.09,21.26, 3.43, 6.83
39,OB4,17.29, 3.83, 57.0,436, 17, 9.83, 9.96,20.98, 3.42, 6.80
40,OB5,14.04, 9.20, 65.8,469, 22,10.18,10.42,21.89, 3.47, 6.90
41,OC1, 5.04, 0.90, 23.6,166,  8, 4.45, 4.33, 9.24, 1.47, 7.13
42,OC2, 6.14, 0.80, 22.4,164,  8, 4.34, 4.17, 8.97, 1.66, 7.17
43,OC3, 3.66, 1.15, 21.0,151,  8, 4.07, 3.92, 8.41, 1.51, 7.29
44,OC4, 4.49, 1.33, 25.4,199, 10, 5.37, 5.65,11.57, 1.77, 6.94
45,OC5, 7.79,25.05, 52.4,400, 24, 8.73, 9.10,18.96, 2.78, 6.91
46,OD1,21.49,20.80, 85.6,659, 75,14.41,15.19,31.62, 3.87, 6.95
47,OD2, 9.89,23.30, 76.8,590, 49,12.42,13.01,27.15, 3.41, 6.93
48,OD3,17.59,42.62, 79.2,676, 49,13.65,15.27,30.86, 4.16, 6.86
49,OD4,15.19,43.42, 79.6,663, 46,13.09,14.27,29.25, 3.99, 6.85
50,OD5,10.04,42.20, 72.0,592, 36,11.63,12.23,25.52, 3.55, 6.88
